path, estimated, expected, error
(10.0.0.2, 10.0.0.10), 44.4031704921, 45, 1.33
(10.0.1.2, 10.0.0.10), 44.4598795221, 45, 1.2
(10.0.2.2, 10.0.0.10), 19.7881403556, 20, 1.06
(10.0.0.2, 10.0.0.10), 14.8471908825, 15, 1.02
(10.0.1.2, 10.0.0.10), 14.842541504, 15, 1.05
(10.0.2.2, 10.0.0.10), 14.8430457385, 15, 1.05
(10.0.0.2, 10.0.0.10), 74.3303394071, 75, 0.89
(10.0.1.2, 10.0.0.10), 30.160275, 30, 0.53
(10.0.2.2, 10.0.0.10), 30.458229, 30, 1.53
(10.0.0.2, 10.0.0.10), 34.6383205235, 35, 1.03
(10.0.1.2, 10.0.0.10), 34.6383205235, 35, 1.03
(10.0.2.2, 10.0.0.10), 34.6383205235, 35, 1.03
(10.0.0.2, 10.0.0.10), 39.6205447084, 40, 0.95
(10.0.1.2, 10.0.0.10), 9.88137543735, 10, 1.19
(10.0.2.2, 10.0.0.10), 9.893843, 10, 1.06
(10.0.0.2, 10.0.0.10), 9.88060080636, 10, 1.19
(10.0.1.2, 10.0.0.10), 9.87543761795, 10, 1.25
(10.0.2.2, 10.0.0.10), 9.88103294189, 10, 1.19
(10.0.0.2, 10.0.0.10), 84.0030342159, 85, 1.17
(10.0.1.2, 10.0.0.10), 79.2630163929, 80, 0.92
(10.0.2.2, 10.0.0.10), 79.2051597763, 80, 0.99
(10.0.0.2, 10.0.0.10), 84.0030342159, 85, 1.17
(10.0.1.2, 10.0.0.10), 44.4694073053, 45, 1.18
(10.0.2.2, 10.0.0.10), 14.8430457385, 15, 1.05
(10.0.0.2, 10.0.0.10), 24.7524954914, 25, 0.99
(10.0.1.2, 10.0.0.10), 24.7524954914, 25, 0.99
(10.0.2.2, 10.0.0.10), 24.7453181374, 25, 1.02
(10.0.0.2, 10.0.0.10), 44.4031704921, 45, 1.33
(10.0.1.2, 10.0.0.10), 19.7426605032, 20, 1.29
(10.0.2.2, 10.0.0.10), 19.8048155839, 20, 0.98
(10.0.0.2, 10.0.0.10), 84.0377655316, 85, 1.13
(10.0.1.2, 10.0.0.10), 9.87828138579, 10, 1.22
(10.0.2.2, 10.0.0.10), 9.85040859198, 10, 1.5
(10.0.0.2, 10.0.0.10), 89.3746636322, 90, 0.69
(10.0.1.2, 10.0.0.10), 29.5839115947, 30, 1.39
(10.0.2.2, 10.0.0.10), 30.359986, 30, 1.2
(10.0.0.2, 10.0.0.10), 19.8048155839, 20, 0.98
(10.0.1.2, 10.0.0.10), 19.7935436342, 20, 1.03
(10.0.2.2, 10.0.0.10), 19.7935436342, 20, 1.03
(10.0.0.2, 10.0.0.10), 69.3455353283, 70, 0.93
(10.0.1.2, 10.0.0.10), 69.3455353283, 70, 0.93
(10.0.2.2, 10.0.0.10), 14.8218543792, 15, 1.19
(10.0.0.2, 10.0.0.10), 54.3090259997, 55, 1.26
(10.0.1.2, 10.0.0.10), 9.88967454169, 10, 1.1
(10.0.2.2, 10.0.0.10), 9.88487581475, 10, 1.15
(10.0.0.2, 10.0.0.10), 89.3746636322, 90, 0.69
(10.0.1.2, 10.0.0.10), 44.4598795221, 45, 1.2
(10.0.2.2, 10.0.0.10), 29.6943817649, 30, 1.02
(10.0.0.2, 10.0.0.10), 39.6205447084, 40, 0.95
(10.0.1.2, 10.0.0.10), 39.6205447084, 40, 0.95
(10.0.2.2, 10.0.0.10), 39.5807850047, 40, 1.05
